ACCT_ID,FIRST_YR_CUSTOMER,COUNTRY,ACCT_MGR_STATUS,ACCT_REVENUE_CAT,ACCT_EMPLOYEE_CAT,ACCT_TYPE,REVENUE.MEDICAL_REVENUE_2015,REVENUE.SCIENTIFIC_REVENUE_2015,REVENUE.TECHNICAL_REVENUE_2015,REVENUE.MEDICAL_REVENUE_2016,REVENUE.SCIENTIFIC_REVENUE_2016,REVENUE.TECHNICAL_REVENUE_2016,USAGE.MEDICAL_NO_SESSIONS_2015,USAGE.SCIENTIFIC_NO_SESSIONS_2015,USAGE.TECHNICAL_NO_SESSIONS_2015,USAGE.MEDICAL_NO_SESSIONS_2016,USAGE.SCIENTIFIC_NO_SESSIONS_2016,USAGE.TECHNICAL_NO_SESSIONS_2016,USERS.USERS_2015,USERS.USERS_2016,NPS.NPS_SCORE_2015,NPS.NPS_SCORE_2016,Calc.TotalRevenue2015,Calc.TotalRevenue2016,Calc.IsLapsed
10000954,2016,GERMANY,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate,0,0,0,62.7,41.8,52.25,,,,3,12,4,0,1,,,0,156.75,0
10256127,2013,UNITED STATES,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research,57,38,47.5,117.6,0,98.7,11,,1,,,1,1,2,0,,142.5,216.3,0
10526577,2014,GERMANY,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Academic,57,38,47.5,59.85,39.9,49.88,1,3,4,11,9,,1,1,,,142.5,149.63,0
12304211,2014,GERMANY,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Research,300,0,250,277.2,0,239.4,31,,23,47,,78,5,6,0,,550,516.6,0
10003769,2014,UNITED STATES,MANAGER,$50-$100m,100 - 500 employees,Academic,264,0,228,0,0,239.4,110,,15,,,96,6,6,,,492,239.4,0
12311556,2015,SPAIN,MANAGER,Less than $20m,11 - 50 employees,Academic,60,0,50,63,42,0,5,,3,17,24,,1,1,0,6,110,105,0
10042032,2016,GERMANY,SENIOR MANAGER,$1bn+,5000+ employees,Corporate,0,0,0,275.88,200.64,238.26,,,,8,,2,0,6,,7,0,714.78,0
12524563,2014,UNITED STATES,DIRECTOR OF FUNCTION,$500m-$1bn,501 - 1000 employees,Academic,300,0,250,315,0,262.5,1,,43,74,,30,5,5,0,,550,577.5,0
10031857,2014,UNITED KINGDOM,HEAD OF FUNCTION,$1bn+,5000+ employees,Research,237.6,172.8,205.2,277.2,0,239.4,123,12,25,28,,79,6,6,,,615.6,516.6,0
12702804,2014,NETHERLANDS,BOARD DIRECTOR,$500m-$1bn,501 - 1000 employees,Research,192,0,164,0,201.6,0,11,,8,,150,,4,6,0,,356,201.6,0
10823393,2014,UNITED KINGDOM,SENIOR MANAGER,$50-$100m,51 - 100 employees,Academic,57,38,47.5,0,42,52.5,1,1,1,,1,1,1,1,5,,142.5,94.5,0
13096458,2012,SPAIN,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Corporate,273,182,227.5,252.25,183.46,217.85,,1,8,4,15,27,5,6,0,,682.5,653.56,0
10047110,2014,GERMANY,SENIOR MANAGER,$50-$100m,100 - 500 employees,Corporate,105.28,71.44,88.36,153.97,106.6,130.28,,2,33,69,14,33,2,3,,,265.08,390.85,0
14546590,2012,RUSSIA,BOARD DIRECTOR,$1bn+,5000+ employees,Research,105.28,71.44,88.36,153.97,106.6,130.28,5,7,15,8,1,1,2,3,0,,265.08,390.85,0
10827364,2012,UNITED STATES,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Academic,57,38,47.5,0,0,0,1,6,2,,,,1,0,4,,142.5,0,1
14736809,2014,UNITED KINGDOM,MANAGER,$500m-$1bn,501 - 1000 employees,Academic,57,38,47.5,0,113.4,138.6,1,,2,,,2,1,3,0,,142.5,252,0
10056965,2013,NETHERLANDS,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Academic,57,38,47.5,0,0,0,,,,,,,1,0,,,142.5,0,1
14999442,2014,UNITED STATES,SENIOR MANAGER,$20-$50m,11 - 50 employees,Corporate,264,0,228,0,0,239.4,107,,30,,,84,6,6,0,,492,239.4,0
10061701,2016,UNITED STATES,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Research,0,0,0,290.4,211.2,0,,,,11,174,,0,6,,7,0,501.6,0
15379535,2013,NETHERLANDS,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Academic,237.6,172.8,205.2,249.48,181.44,215.46,12,14,20,77,,,6,6,0,,615.6,646.38,0
10906971,2014,SPAIN,SENIOR MANAGER,$100-$500m,100 - 500 employees,Academic,60,0,50,0,0,138.6,1,,2,,,12,1,3,,,110,138.6,0
15513661,2013,UNITED STATES,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate,237.6,172.8,205.2,249.48,181.44,215.46,,19,75,99,19,1,6,6,0,,615.6,646.38,0
10066053,2012,GERMANY,SENIOR MANAGER,$50-$100m,51 - 100 employees,Corporate,176.64,125.12,150.88,0,0,0,,6,5,,,,4,0,,,452.64,0,1
16211459,2013,NETHERLANDS,BOARD DIRECTOR,$100-$500m,501 - 1000 employees,Corporate,237.6,172.8,205.2,277.2,0,239.4,118,6,48,152,,45,6,6,0,,615.6,516.6,0
10089726,2015,NETHERLANDS,MANAGER,$1bn+,5000+ employees,Corporate,105.28,71.44,88.36,163.8,0,138.6,5,1,2,25,,76,2,3,3,10,265.08,302.4,0
17034798,2015,NETHERLANDS,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Academic,0,76,94,0,0,0,,2,1,,,,2,0,0,,170,0,1
11030897,2015,IRELAND,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Research,57,38,47.5,111.72,75.81,93.77,1,,22,22,14,17,1,2,,,142.5,281.3,0
19069736,2013,NETHERLANDS,MANAGER,$500m-$1bn,1001 - 5000 employees,Corporate,60,0,50,117.6,0,98.7,3,,9,3,,26,1,2,0,,110,216.3,0
10107876,2014,RUSSIA,DIRECTOR OF FUNCTION,$500m-$1bn,501 - 1000 employees,Corporate,176.64,125.12,150.88,0,201.6,239.4,42,12,,,14,3,4,6,,,452.64,441,0
21040131,2012,IRELAND,MANAGER,$100-$500m,501 - 1000 employees,Research,105.28,71.44,88.36,201.6,142.8,0,5,9,9,72,59,,2,4,0,,265.08,344.4,0
10113772,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Corporate,0,0,0,0,0,55,,,,,,43,0,1,,,0,55,0
23147710,2012,UNITED STATES,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Research,57,38,47.5,163.8,113.4,0,2,,,45,45,,1,3,0,,142.5,277.2,0
10110252,2014,IRELAND,BOARD DIRECTOR,$1bn+,5000+ employees,Corporate,60,0,50,0,113.4,0,,,8,,27,,1,3,1,9,110,113.4,0
26396776,2014,RUSSIA,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Research,237.6,172.8,205.2,277.2,0,239.4,35,2,4,27,,243,6,6,0,10,615.6,516.6,0
11325830,2013,GERMANY,HEAD OF FUNCTION,$1bn+,5000+ employees,Corporate,105.28,71.44,88.36,0,0,0,1,9,3,,,,2,0,,,265.08,0,1
26452572,2014,UNITED STATES,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Academic,192,0,164,315,210,0,15,,56,50,124,,4,5,0,,356,525,0
10125278,2016,BELGIUM,SENIOR MANAGER,Less than $20m,11 - 50 employees,Research,0,0,0,62.7,41.8,52.25,,,,,,,0,1,,,0,156.75,0
27095033,2013,NETHERLANDS,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic,237.6,172.8,205.2,0,201.6,239.4,,,,,156,95,6,6,0,,615.6,441,0
10124355,2012,UNITED STATES,HEAD OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Academic,57,38,47.5,0,0,0,7,14,,,,,1,0,,,142.5,0,1
27195601,2012,UNITED KINGDOM,SENIOR MANAGER,$50-$100m,51 - 100 employees,Research,57,38,47.5,163.8,113.4,0,21,7,3,56,6,,1,3,0,,142.5,277.2,0
12453471,2015,GERMANY,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Research,57,38,47.5,59.85,39.9,49.88,1,1,,8,4,10,1,1,4,,142.5,149.63,0
31152638,2015,UNITED STATES,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Academic,60,0,0,0,79.8,0,,,,,78,,1,2,0,,60,79.8,0
10128516,2015,NETHERLANDS,HEAD OF FUNCTION,$50-$100m,51 - 100 employees,Academic,57,38,47.5,163.8,0,138.6,14,1,1,26,,84,1,3,10,,142.5,302.4,0
31866033,2015,NETHERLANDS,SENIOR MANAGER,$20-$50m,11 - 50 employees,Research,105.28,71.44,88.36,163.8,113.4,0,34,4,6,22,4,,2,3,0,,265.08,277.2,0
32751935,2015,UNITED KINGDOM,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Corporate,57,38,47.5,111.72,75.81,93.77,,,2,14,5,15,1,2,0,8,142.5,281.3,0
10137786,2016,NETHERLANDS,MANAGER,$50-$100m,51 - 100 employees,Academic,0,0,0,0,149.6,0,,,,,,,0,4,,,0,149.6,0
34095107,2015,IRELAND,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research,57,38,47.5,59.85,39.9,49.88,2,2,,21,2,7,1,1,0,,142.5,149.63,0
10148939,2014,IRELAND,MANAGER,$20-$50m,11 - 50 employees,Research,57,38,47.5,111.72,75.81,93.77,3,9,,5,5,,1,2,,10,142.5,281.3,0
34214885,2015,SPAIN,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Research,60,0,50,0,0,98.7,25,,1,,,46,1,2,0,,110,98.7,0
12612450,2012,UNITED STATES,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Academic,57,38,47.5,0,0,0,1,5,1,,,,1,0,,,142.5,0,1
34919811,2015,FRANCE,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Research,57,38,47.5,155.61,107.73,131.67,2,,2,21,3,25,1,3,0,,142.5,395.01,0
10151112,2012,UNITED STATES,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Academic,60,0,50,117.6,79.8,0,,,5,31,52,,1,2,5,,110,197.4,0
36331227,2015,RUSSIA,SENIOR MANAGER,Less than $20m,11 - 50 employees,Research,300,0,0,0,0,262.5,60,,,,,170,5,5,0,,300,262.5,0
10177158,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic,0,0,0,0,118.8,0,,,,,18,,0,3,,,0,118.8,0
37047491,2015,UNITED STATES,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Research,0,0,164,0,201.6,0,,,76,,168,,4,6,0,,164,201.6,0
12769684,2012,FRANCE,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Research,57,38,47.5,0,0,0,1,8,,,,,1,0,,,142.5,0,1
37118482,2015,UNITED KINGDOM,DIRECTOR OF FUNCTION,$500m-$1bn,501 - 1000 employees,Corporate,264,192,0,277.2,0,239.4,15,110,,24,,11,6,6,0,9,456,516.6,0
10180093,2015,UNITED STATES,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Corporate,60,0,0,0,0,138.6,16,,,,,21,1,3,7,2,60,138.6,0
38040326,2015,UNITED STATES,MANAGER,$1bn+,1001 - 5000 employees,Research,60,0,0,0,42,0,18,,,,45,,1,1,0,,60,42,0
10186905,2014,UNITED KINGDOM,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Academic,176.64,125.12,150.88,201.6,0,172.2,6,1,,135,,20,4,4,,,452.64,373.8,0
38877006,2015,GERMANY,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Research,60,40,0,0,0,0,9,7,,,,,1,0,0,,100,0,1
13020358,2015,UNITED STATES,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Corporate,60,40,0,0,0,0,1,15,,,,,1,0,,,100,0,1
39048201,2015,UNITED STATES,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Corporate,57,38,47.5,155.61,107.73,131.67,3,,6,49,,13,1,3,0,,142.5,395.01,0
10190960,2015,UNITED STATES,MANAGER,$50-$100m,100 - 500 employees,Research,105.28,71.44,88.36,0,79.8,98.7,32,,,,3,8,2,2,5,,265.08,178.5,0
40939896,2015,GERMANY,HEAD OF FUNCTION,$1bn+,5000+ employees,Research,60,0,50,63,42,0,21,,4,20,3,,1,1,0,,110,105,0
10201519,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Academic,0,0,0,290.4,0,0,,,,186,,,0,6,,,0,290.4,0
41183484,2012,RUSSIA,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Academic,176.64,125.12,150.88,0,0,0,11,1,7,,,,4,0,0,,452.64,0,1
10196017,2015,UNITED KINGDOM,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research,0,40,50,0,0,0,,,15,,,,1,0,,,90,0,1
42581741,2015,UNITED STATES,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research,57,38,47.5,163.8,113.4,0,3,2,,10,61,,1,3,0,10,142.5,277.2,0
13168955,2015,RUSSIA,MANAGER,Less than $20m,0 - 10 employees,Academic,60,40,0,0,0,0,1,3,,,,,1,0,,,100,0,1
43359795,2015,UNITED KINGDOM,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Academic,0,0,250,0,210,0,,,35,,60,,5,5,0,8,250,210,0
10203040,2016,SPAIN,SENIOR MANAGER,$1bn+,5000+ employees,Corporate,0,0,0,200.64,142.12,171.38,,,,91,68,3,0,4,,,0,514.14,0
44300339,2014,UNITED STATES,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research,0,108,132,0,0,0,,5,24,,,,3,0,0,,240,0,1
13722223,2015,UNITED STATES,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic,60,40,0,0,0,0,1,8,,,,,1,0,8,,100,0,1
44504357,2014,UNITED STATES,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research,176.64,125.12,150.88,185.47,131.38,158.42,53,3,6,7,,,4,4,0,,452.64,475.27,0
10214838,2014,IRELAND,BOARD DIRECTOR,$50-$100m,100 - 500 employees,Corporate,237.6,172.8,205.2,0,201.6,239.4,21,2,6,,91,10,6,6,,,615.6,441,0
45424097,2014,GERMANY,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Academic,60,0,50,117.6,0,98.7,12,,3,7,,6,1,2,0,8,110,216.3,0
10242185,2014,FRANCE,MANAGER,$100-$500m,100 - 500 employees,Research,273,182,227.5,252.25,183.46,217.85,45,72,2,118,11,1,5,6,,,682.5,653.56,0
45620872,2014,GERMANY,HEAD OF FUNCTION,$20-$50m,51 - 100 employees,Academic,60,0,50,0,0,138.6,19,,4,,,9,1,3,0,,110,138.6,0
14008984,2012,UNITED STATES,MANAGER,$500m-$1bn,501 - 1000 employees,Research,105.28,71.44,88.36,0,0,0,1,,,,,,2,0,,,265.08,0,1
49776110,2015,RUSSIA,HEAD OF FUNCTION,$1bn+,5000+ employees,Corporate,60,0,0,63,0,0,12,,,41,,,1,1,0,,60,63,0
10254816,2015,UNITED STATES,MANAGER,$100-$500m,100 - 500 employees,Research,0,40,50,0,0,0,,,,,,,1,0,,,90,0,1
51896962,2015,NETHERLANDS,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Corporate,57,38,47.5,155.61,107.73,131.67,10,6,1,13,1,,1,3,0,,142.5,395.01,0
53163931,2015,SPAIN,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Academic,57,38,47.5,63,0,52.5,6,5,5,25,,2,1,1,0,,142.5,115.5,0
14726833,2015,BELGIUM,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Corporate,57,38,47.5,59.85,39.9,49.88,1,22,1,1,,,1,1,,,142.5,149.63,0
53995104,2012,NETHERLANDS,HEAD OF FUNCTION,$100-$500m,501 - 1000 employees,Academic,57,38,47.5,0,0,0,,,6,,,,1,0,0,,142.5,0,1
10259355,2015,UNITED KINGDOM,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Research,0,40,50,0,0,0,,3,14,,,,1,0,,,90,0,1
